suite,environment,country,version
GS32,Production,Argentina,V10.2.91
GS32,Production,Argentina,V10.2.93
GS32,Production,Argentina,V10.2.94
GS32,Production,Argentina,V10.2.96
GS32,Production,Argentina,V10.2.97
GS32,Production,Brasil,V10.3.65
GS32,Production,Brasil,V10.3.68
GS32,Production,Brasil,V10.3.69
GS32,Production,Brasil,V10.3.72
GS32,Production,Brasil,V10.3.75
GS32,Staging,Brasil,V10.3.65
GS32,Staging,Brasil,V10.3.68
GS32,Staging,Brasil,V10.3.69
GS32,Testing-2,Argentina,V10.2.91
GS32,Testing-2,Argentina,V10.3.68
GS64,Production,Brasil,V1.11.1
GS64,Production,Brasil,V10.3.75
